;period;start;end;n;missing;start;end;n;log;adjust;lp;;;ntd;nmh;td-derived;;;td-ftest;easter;;;nout;noutao;noutls;nouttc;noutso;td(1);;;td(2);;;td(3);;;td(4);;;td(5);;;td(6);;;out(1);;;out(2);;;out(3);;;out(4);;;out(5);;;out(6);;;out(7);;;out(8);;;out(9);;;out(10);;;out(11);;;out(12);;;out(13);;;out(14);;;out(15);;;out(16);;;out(17);;;out(18);;;out(19);;;out(20);;;out(21);;;out(22);;;out(23);;;out(24);;;out(25);;;out(26);;;out(27);;;out(28);;;out(29);;;out(30);;;out(31);;;;neffectiveobs;np;logvalue;adjustedlogvalue;ssqerr;aic;aicc;bic;bicc;ser;ser-ml;mean;skewness;;;kurtosis;;;dh;lb;lb2;;;seaslb;bp;bp2;seasbp;nudruns;ludruns;nruns;lruns;arima;mean;p;d;q;bp;bd;bq;phi(1);phi(2);phi(3);bphi(1);th(1);th(2);bth(1);seasonality;parameters_cutoff;model_changed;tvar-estimator;tvar-estimate;tvar-pvalue;savar-estimator;savar-estimate;savar-pvalue;svar-estimator;svar-estimate;svar-pvalue;ivar-estimator;ivar-estimate;ivar-pvalue;tscorr-estimator;tscorr-estimate;tscorr-pvalue;ticorr-estimator;ticorr-estimate;ticorr-pvalue;sicorr-estimator;sicorr-estimate;sicorr-pvalue;;;method;cycle;seasonality;irregular;tdh;others;total;logstat;levelstat;fcast-insample-mean;fcast-outsample-mean;fcast-outsample-variance;seas-lin-f;seas-lin-qs;seas-lin-kw;seas-lin-friedman;seas-lin-periodogram;seas-lin-spectralpeaks;seas-si-combined;seas-si-evolutive;seas-si-stable;seas-res-f;seas-res-qs;seas-res-kw;seas-res-friedman;seas-res-periodogram;seas-res-spectralpeaks;seas-res-combined;seas-res-combined3;seas-res-evolutive;seas-res-stable;seas-i-f;seas-i-qs;seas-i-kw;seas-i-periodogram;seas-i-spectralpeaks;seas-i-combined;seas-i-combined3;seas-i-evolutive;seas-i-stable;seas-sa-f;seas-sa-qs;seas-sa-kw;seas-sa-friedman;seas-sa-periodogram;seas-sa-spectralpeaks;seas-sa-combined;seas-sa-combined3;seas-sa-evolutive;seas-sa-stable;seas-sa-ac1;td-sa-all;td-sa-last;td-i-all;td-i-last;td-res-all;td-res-last;ic-ratio-henderson;ic-ratio;msr-global;msr(1);msr(2);msr(3);msr(4);msr(5);msr(6);msr(7);msr(8);msr(9);msr(10);msr(11);msr(12);trendfilter;seasfilter;m1;m2;m3;m4;m5;m6;m7;m8;m9;m10;m11;q;q-m2;definition;;annual totals;;spectral seas peaks;spectral td peaks;normality;;independence;;spectral td peaks;;spectral seas peaks;;number of outliers;;mean;;mse;;q;;q-m2;;seas variance;;irregular variance;;seas/irr cross-correlation;;qs test on sa;;qs test on i;;f-test on sa (seasonal dummies);;f-test on i (seasonal dummies);;combined seasonality test on sa;;combined seasonality test on sa (last 3 years);;combined seasonality test on irregular;;f-test on sa (td);;f-test on i (td);;quality
RF0610;12;1990-01-31;2018-10-31;346;0;1990-01-31;2018-10-31;346;1;1;;;;6;0;td-derived;-0,005599;-2,4416;0,166616099;;;;9;5;1;3;0;Monday;0,004427;1,9111;Tuesday;0,000148;0,063;Wednesday;-0,001462;-0,6286;Thursday;0,000947;0,4111;Friday;0,00178;0,7678;Saturday;-0,00024;-0,1046;AO (7-1990);-0,165129;-8,78;AO (5-1999);-0,112316;-6,1045;TC (1-2007);-0,106414;-4,7108;LS (6-2010);0,125555;5,2518;AO (2-2009);0,096409;5,3023;TC (4-2000);-0,122087;-5,3917;AO (11-1995);0,096638;5,2069;TC (12-1999);-0,09989;-4,4111;AO (2-2007);-0,080687;-4,4351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333;18;762,16597794;-911,395982723;0,188919954;1858,791965445;1860,970309394;1927,338530265;-7,17806259;0,02445093;0,023818631;0,677465;Normal with Mean = 0.0 and Stdev = 0.13423121104280486;0,043168;0,7478;Normal with Mean = 3.0 and Stdev = 0.2684624220856097;2,952991;0,861;0,118258;22,777263;Chi2 with 22 degrees of freedom ;35,247181;0,0365;1,012873;21,587353;33,945185;0,970544;-0,347531;0,414522;0,294677;31,101348;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,150097;;-0,897877;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,213727739;0,148644532;0,032994947;0,00408735;0,638631807;1,038086376;2053,132891467;2276,822634136;0,541726474;0,839049108;0,992150804;0;0;0,998931608;0;0;-t.at.AT.AT.AT.AT;Present;0,890565165;0;0,524517061;0,602639168;0,613364915;0,729790183;0,572108348;--.--.-t.--.--.--;None;None;0,005156306;0,530425353;0,803924591;1;0,999774586;0,759567994;--.--.-t.--.--.--;None;None;0,023604713;0,801719793;0,975454433;1;0,999999997;0,94444542;0,865117512;--.--.-t.--.--.--;None;None;0;0,999971957;-0,062749853;0,980125337;0,173051158;0,992392364;0,220269339;0,992159649;0,352763661;2,060864991;2,246533061;5,667876499;4,915169584;4,126335135;7,690739757;4,783368519;5,72573636;6,593839627;4,101532857;6,349393482;6,42512657;7,934683981;6,65739919;4,924505848;13 terms Henderson moving average;3x5;0,881944489;0,082094674;0,236435005;0,959082655;0,426029909;0,667150599;0,235240109;0,667949129;0,11304784;0,662600497;0,524208997;0,455658713;0,501829549;Good;0;Good;0,003;Good;Good;Good;0,943;Good;0,414;Good;0,144;Good;0,426;Good;0,026;Good;0,839;Good;0,992;Good;0,456;Good;0,502;;;;;;;Good;1;Good;1;Good;0,744;Good;0,722;Good;0,905;Good;0,821;Good;0,699;Good;0,173;Good;0,22;Good
RF0620;12;1990-01-31;2018-10-31;346;0;1990-01-31;2018-10-31;346;1;0;;;;0;0;;;;;;;;31;22;5;4;0;;;;;;;;;;;;;;;;;;;AO (7-1990);-2,173359;-26,5321;LS (1-2015);1,794516;25,5681;LS (11-2013);-2,421607;-33,943;LS (3-2018);-1,394241;-21,1092;AO (5-1999);-0,948879;-12,8594;AO (10-2013);-0,954815;-11,716;AO (1-2014);-1,102791;-14,179;TC (9-2005);-0,756485;-10,8159;LS (1-2016);0,585558;9,2656;AO (6-2000);-0,668591;-9,0546;AO (7-2014);-0,930346;-12,0481;LS (11-2014);-0,681555;-9,4549;AO (7-1996);-0,596302;-7,9608;AO (10-2016);-0,540297;-7,101;AO (4-2007);-0,508901;-6,8985;AO (6-1995);-0,493437;-6,5648;TC (3-2011);-0,405986;-5,8011;AO (6-2014);-0,57712;-7,5481;AO (12-2013);-0,526778;-6,5954;AO (9-2014);-0,567864;-7,1798;AO (7-1995);-0,440737;-5,7933;AO (10-2008);-0,469285;-6,2641;AO (8-1990);-0,406986;-4,9877;TC (11-2001);-0,329443;-4,7227;AO (6-1991);0,400692;5,1913;AO (9-2011);-0,403584;-5,4225;AO (9-2008);-0,386497;-5,1417;AO (9-1993);-0,399657;-5,3085;AO (3-2015);-0,371121;-4,8909;AO (9-1991);-0,337451;-4,3335;TC (12-2005);0,276273;3,9572;;333;34;350,747588742;-1893,70544753;2,312535212;3855,410895061;3863,397472242;3984,88773972;-4,394216385;0,087797783;0,083333968;-1,539603;Normal with Mean = 0.0 and Stdev = 0.13423121104280486;-0,219791;0,1015;Normal with Mean = 3.0 and Stdev = 0.2684624220856097;4,150787;0;16,307958;25,437562;Chi2 with 22 degrees of freedom ;20,381392;0,5592;0,004806;24,372435;19,366329;0;-0,868826;2,863373;-2,348313;17,508126;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,668601;;-0,692315;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,005328188;0,009590471;0,005752879;0;1,000061144;1,020732682;4650,102275661;4739,379091648;0,123541577;0,86065751;0,708710175;0;0;0,992505228;0;0;A-.-T.aT.a-.At.-T;Present;0,051083403;0;0,466579371;1;0,340061352;0,611374036;0,557029598;A-.--.--.--.--.--;None;None;0,072415141;0,460751109;0,851161865;1;0,999046215;0,815724332;--.--.--.--.--.--;None;None;0,024727897;0,849816169;0,968394802;1;0,999999906;0,999205581;0,933627165;--.--.--.--.--.--;None;None;0;0,956371649;-0,464381047;0,627692139;0,899063849;0,791246788;0,771659181;0,873922751;0,882367208;3,862248916;4,513306811;4,124557708;4,708915983;5,80710656;3,546917104;2,967945936;3,339255251;2,345268364;4,485452747;3,924351937;5,903676526;5,289843951;4,912428274;6,687991702;13 terms Henderson moving average;3x5;1,775457339;3;0,765221569;0,38032588;0,880437294;0,049823083;0,647300721;1,187798602;0,447811797;1,413700919;1,357262561;1,058169769;0,818168279;Good;0;Uncertain;0,019;Bad;Good;Bad;0;Good;0,277;Good;0,303;Good;0,387;Bad;0,09;Good;0,861;Good;0,709;Bad;1,058;Good;0,818;;;;;;;Good;1;Good;1;Good;0,759;Good;0,671;Good;0,456;Good;0,604;Good;0,225;Good;0,899;Good;0,772;Uncertain
RF0811;12;1990-01-31;2018-10-31;346;0;1990-01-31;2018-10-31;346;1;1;;;;6;1;td-derived;-0,008183;-1,2107;0;Easter [1];-0,059832;-4,4047;3;1;2;0;0;Monday;0,007399;1,0972;Tuesday;0,001878;0,2767;Wednesday;0,019683;2,9209;Thursday;0,018407;2,7292;Friday;-0,005075;-0,7481;Saturday;-0,034109;-5,1217;LS (2-2012);-0,294163;-6,3028;LS (12-2008);-0,194723;-4,184;AO (6-2011);-0,228454;-4,2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333;14;445,616846225;-1252,864440648;1,275157012;2533,728881297;2535,049636014;2587,042876157;-5,338328871;0,063125792;0,061881341;-0,278344;Normal with Mean = 0.0 and Stdev = 0.13423121104280486;-0,372018;0,0056;Normal with Mean = 3.0 and Stdev = 0.2684624220856097;3,615987;0,0218;8,791205;19,32374;Chi2 with 21 degrees of freedom ;29,959567;0,0928;0,008666;18,546454;28,357686;0,008304;0,304089;9,568758;-1,371907;8,834024;(0,1,1)(1,1,1);0;0;1;1;1;1;1;;;;-0,275576;-0,622985;;-0,920801;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,027632773;0,239056685;0,025577841;0,017729528;0,693303381;1,003300208;2616,482153811;2630,563227505;0,747992188;0,874985117;0,609671169;0;0;0;0;0;At.AT.AT.AT.AT.AT;Present;0,013635903;0;0,322103246;0,995676458;0,37388946;0,206621802;0,365549726;--.--.--.--.--.a-;None;None;0,616228884;0,32406348;0,509658189;0,815519435;0,988363887;0,65721048;--.--.--.--.--.--;None;None;0,051437005;0,50467866;0,723573051;1;0,999985407;0,956683453;0,840718159;--.--.--.--.--.--;None;None;0,053319363;0,788531141;-0,44391408;0,961109501;0,389594347;0,997022747;0,265564678;0,998954162;0,534600837;4,393631896;5,27095915;4,390653943;5,017734341;4,208338402;4,221723551;5,084638536;8,647367949;5,618919664;5,032675455;2,207425359;4,205331353;3,992266963;5,949778692;2,771988416;13 terms Henderson moving average;3x5;0,382624747;0,369524485;0,980354577;0,711044037;1,190490584;0,156261577;0,205970831;0,497910137;0,135011433;0,384661302;0,338369485;0,490709762;0,505687717;Good;0;Uncertain;0,01;Good;Good;Uncertain;0,012;Good;0,564;Good;0,207;Uncertain;0,093;Good;0,009;Good;0,875;Good;0,61;Good;0,491;Good;0,506;;;;;;;Good;1;Good;1;Good;0,814;Good;0,557;Good;0,554;Good;0,925;Good;0,602;Good;0,39;Good;0,266;Good
RF0812;12;1990-01-31;2018-10-31;346;0;1990-01-31;2018-10-31;346;0;0;Leap year;3,264271;1,7039;7;1;td-derived;-3,002804;-5,3045;0;Easter [1];-4,130388;-3,7713;4;4;0;0;0;Monday;1,079533;1,9129;Tuesday;2,575027;4,5233;Wednesday;1,271892;2,2121;Thursday;0,292295;0,5194;Friday;0,540508;0,9614;Saturday;-2,756452;-4,9343;AO (2-2012);-29,636405;-6,3601;AO (5-2011);25,725902;5,9168;AO (2-1991);-25,831285;-5,776;AO (1-1997);-22,497087;-5,185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333;17;-1014,649827221;-1014,649827221;8277,678017436;2063,299654442;2065,242511584;2128,038076771;3,492245195;5,110043928;4,985768942;0,292353;Normal with Mean = 0.0 and Stdev = 0.13423121104280486;-0,177441;0,1862;Normal with Mean = 3.0 and Stdev = 0.2684624220856097;3,505162;0,0599;5,083327;28,325667;Chi2 with 20 degrees of freedom ;47,915117;0,0004;0,562473;26,683201;45,89923;0,538967;-0,868826;79,101974;0,642096;6,489085;(2,1,1)(0,1,1);0;2;1;1;0;1;1;-0,106506;0,190061;;;-0,614679;;-0,825469;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,047128611;0,811745269;0,033614032;0,04198784;0,024716328;0,959192081;2232,782104262;2159,80111573;0,897715898;0,485972099;0,381266961;0;0;0;0;0;AT.AT.AT.AT.AT.AT;Present;0,013676327;0;0,799819493;0,754849718;0,550457883;0,70947064;0,814466713;--.--.--.--.-T.A-;None;None;0,252993202;0,797709061;0,440952164;1;0,998494225;0,473070459;--.--.--.--.--.At;None;None;0,094119504;0,43676696;0,662998577;1;0,998912446;0,728962006;0,365456611;--.--.--.--.--.At;None;None;0,000500605;0,608200617;-0,317446037;0,997543887;0,714313812;0,999488068;0,585648165;0,996825621;0,746625333;4,830140088;5,371603217;5,01032368;5,057364257;5,920852993;4,958237115;5,572742599;4,784425426;5,666540262;6,28309962;3,653995064;5,278492501;7,052328038;3,533060917;4,150043337;13 terms Henderson moving average;3x5;0,151557388;0,156004827;1,177434895;1,30633672;1,247101008;0,404129472;0,108495344;0,257551084;0,053884564;0,26425658;0,235143393;0,493466411;0,535175146;Good;0;Good;0,005;Good;Good;Uncertain;0,079;Good;0,102;Good;0,31;Good;0,265;Good;0,012;Good;0,486;Good;0,381;Good;0,493;Good;0,535;;;;;;;Good;1;Good;1;Good;0,861;Good;0,874;Severe;0,006;Good;0,768;Bad;0,035;Good;0,714;Good;0,586;Severe
RF0893;12;1990-01-31;2018-10-31;346;0;1990-01-31;2018-10-31;346;0;0;;;;0;0;;;;;;;;2;1;1;0;0;;;;;;;;;;;;;;;;;;;AO (12-2012);-63,668581;-6,2466;LS (12-2008);-25,183516;-4,7855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333;5;-1278,720367501;-1278,720367501;40524,795208265;2567,440735001;2567,62422124;2586,481447451;4,871294281;11,098453466;11,031594704;-0,636873;Normal with Mean = 0.0 and Stdev = 0.13423121104280486;-0,101421;0,4499;Normal with Mean = 3.0 and Stdev = 0.2684624220856097;3,090502;0,736;0,889119;33,92342;Chi2 with 22 degrees of freedom ;27,263811;0,2014;0,371261;32,771038;25,825636;0,355746;0,955709;2,085396;0,212834;12,593553;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,872761;;-0,790169;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,042042555;0,47152131;0,138233344;0;0,350847881;1,002645091;2710,325471211;2626,779848937;0,331435237;0,219894256;0,434681122;0;0;0;0;0;AT.At.AT.AT.at.AT;Present;0,222214609;0;0,924938843;0,830580418;0,957393991;0,957494948;0,95936561;--.--.--.--.--.--;None;None;0,08046253;0,922567578;0,890106384;1;0,999323626;0,884930826;--.--.--.--.--.--;None;None;0,020690674;0,886449107;0,926134048;1;0,999134494;0,99893842;0,951429976;--.--.--.--.--.--;None;None;0,137050152;0,911008849;-0,556679637;0,465018537;0,200467037;0,588060539;0,121827842;0,609632012;0,355734864;7,566343348;13,387679027;5,006281468;5,316711541;5,613344763;4,92834566;4,695399197;4,84342186;7,14765991;3,806247266;6,403347683;5,47438435;4,429916676;6,290319921;3,438874016;23-Henderson;3x5;1,744582479;0,795084109;2,406952032;0,38032588;3;0,402512587;0,293360792;0,735906118;0,212830222;0,924255028;0,804332338;1,091650013;1,128304226;Good;0;Good;0,002;Good;Good;Good;0,641;Uncertain;0,05;Good;0,392;Good;0,443;Good;0,006;Good;0,22;Good;0,435;Bad;1,092;Bad;1,128;;;;;;;Good;1;Good;1;Good;0,976;Good;0,848;Good;0,437;Good;0,974;Good;0,461;Good;0,2;Good;0,122;Good
RF0899;12;1990-01-31;2018-10-31;346;0;1990-01-31;2018-10-31;346;0;0;Leap year;-0,594462;-0,2145;7;1;td-derived;-2,651109;-2,9301;0;Easter [1];-4,763174;-2,5773;5;4;0;1;0;Monday;0,066493;0,0736;Tuesday;2,21623;2,4505;Wednesday;0,207849;0,2306;Thursday;0,743785;0,8312;Friday;3,211584;3,5412;Saturday;-3,794832;-4,2178;AO (6-2017);-49,398344;-6,8198;AO (3-2016);-35,986687;-4,9547;AO (9-1990);-31,827468;-4,1649;AO (4-1998);28,405673;4,0624;TC (3-2009);-28,614;-4,1528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333;16;-1179,700843842;-1179,700843842;22782,126758843;2391,401687684;2393,123206672;2452,331967524;4,487217144;8,464154302;8,271323659;-0,05222;Normal with Mean = 0.0 and Stdev = 0.13423121104280486;0,110852;0,4089;Normal with Mean = 3.0 and Stdev = 0.2684624220856097;3,659108;0,0141;7,039328;19,422296;Chi2 with 22 degrees of freedom ;25,88015;0,2569;0,775252;18,634162;24,987422;0;0,564737;14,786808;0,432939;9,70548;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,591017;;-0,658981;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,109233944;0,724096546;0,072508652;0,038313008;0,064094993;1,008247143;2606,019798199;2495,539957008;0,873860167;0,371748468;0,346233352;0;0;0;0;0;AT.AT.AT.AT.AT.AT;Present;0,357037691;0;0,095680528;1;0,171343994;0,055319483;0,047766679;-t.--.--.--.--.--;None;None;0,036286458;0,092827776;0,634478971;1;0,982835186;0,659591646;--.--.--.--.--.--;None;None;0,098161305;0,640764024;0,773425686;1;0,997984292;0,993606451;0,524869245;--.--.--.--.--.--;None;None;0,000014683;0,6731085;-0,478466398;0,996167074;0,210174079;0,999975299;0,226964322;0,999283599;0,272299763;4,413327939;5,104133966;3,968558684;4,180962239;5,821661942;5,092708226;6,413384445;5,834310533;5,702776948;2,3509644;1,270694313;6,247414055;5,400176206;4,064638111;3,915115284;13 terms Henderson moving average;3x5;0,413637261;0,229542827;0,977560141;0,479541327;0,99901932;0,012576526;0,225761675;0,488691065;0,238005354;0,55162764;0,505899578;0,447689475;0,47465142;Good;0;Good;0,005;Bad;Good;Uncertain;0,03;Good;0,619;Uncertain;0,08;Good;0,12;Good;0,014;Good;0,372;Good;0,346;Good;0,448;Good;0,475;;;;;;;Good;1;Good;1;Good;0,989;Good;0,939;Good;0,5;Good;0,909;Good;0,492;Good;0,21;Good;0,227;Good
RF1011;12;1990-01-31;2018-10-31;346;0;1990-01-31;2018-10-31;346;1;1;;;;6;1;td-derived;-0,029708;-10,5935;0;Easter [15];0,019062;3,1215;1;0;0;1;0;Monday;0,0153;5,4145;Tuesday;0,017868;6,3665;Wednesday;0,019482;6,9162;Thursday;0,001885;0,6757;Friday;0,00903;3,2049;Saturday;-0,033857;-12,1503;TC (11-2000);-0,20246;-10,2654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333;11;775,938541766;-774,869397663;0,174519264;1571,738795326;1572,561225232;1613,628362715;-7,379443945;0,023244512;0,022892835;-1,493423;Normal with Mean = 0.0 and Stdev = 0.13423121104280486;0,389422;0,0037;Normal with Mean = 3.0 and Stdev = 0.2684624220856097;3,920674;0,0006;12,224185;29,511694;Chi2 with 22 degrees of freedom ;36,36021;0,0278;0,023484;28,419792;35,263785;0;-1,390122;88,429543;-0,127825;11,548849;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,667808;;-0,880872;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,092226653;0,33630589;0,07550364;0,401561099;0,069875699;0,97547298;1665,385032598;1667,13625683;0,105696117;0,83420645;0,884125957;0;0;0;0;0;-t.AT.AT.AT.AT.aT;Present;0,367360252;0;0,406912808;1;0,259991656;0,133988358;0,373229207;--.--.--.--.--.--;None;None;0,016156832;0,42231168;0,928868777;1;0,998853482;0,947802877;--.--.--.--.--.--;None;None;0,003512579;0,927428098;0,956016015;1;0,999971261;0,999671057;0,977494842;--.--.--.--.--.--;None;None;0,000020427;0,818796188;-0,508024506;0,901521229;0,532957229;0,999389965;0,93298085;0,983167598;0,78755393;5,282751507;7,369875556;5,59734975;7,956718529;5,196301268;5,827221545;5,704344983;4,017210647;3,55562793;5,082230672;7,083528365;6,040395346;5,322138931;6,680679367;6,382093206;23-Henderson;3x5;0,638061378;0,401154976;1,297954027;0,562220867;1,398589028;0,6389399;0,229046198;0,547691635;0,152406795;0,411855413;0,321392344;0,620010156;0,647059673;Good;0;Good;0,006;Good;Good;Bad;0,002;Good;0,131;Uncertain;0,082;Good;0,327;Good;0,003;Good;0,834;Good;0,884;Good;0,62;Good;0,647;;;;;;;Good;1;Good;1;Good;0,999;Good;0,998;Good;0,985;Good;0,876;Good;0,995;Good;0,533;Good;0,933;Good
RF1012;12;1990-01-31;2018-10-31;346;0;1990-01-31;2018-10-31;346;1;1;;;;6;0;td-derived;-0,03002;-9,6389;0;;;;1;0;0;1;0;Monday;0,009861;3,1438;Tuesday;0,019816;6,3195;Wednesday;0,014644;4,6645;Thursday;0,005002;1,601;Friday;0,009222;2,9405;Saturday;-0,028524;-9,1379;TC (4-2006);-0,143909;-5,8413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333;10;708,101771832;-834,530312066;0,267314311;1689,060624133;1689,743853946;1727,142049032;-6,970495784;0,028723582;0,028332767;-1,297844;Normal with Mean = 0.0 and Stdev = 0.13423121104280486;0,112084;0,4037;Normal with Mean = 3.0 and Stdev = 0.2684624220856097;3,214704;0,4239;1,69106;34,380867;Chi2 with 22 degrees of freedom ;45,589704;0,0022;0,946952;33,089072;43,863692;0,907378;-0,868826;3,506339;-0,713313;7,922835;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,541535;;-0,792804;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,110003122;0,443050579;0,076049174;0,311389951;0,03174911;0,972241936;1718,467179361;1729,998301689;0,123226543;0,438974655;0,479505545;0;0;0,000000835;0;0;-t.AT.-t.AT.AT.--;Present;0,061561875;0;0,371224512;0,622833599;0,205601191;0,162327141;0,2677696;--.--.--.-t.--.a-;None;None;0,024128659;0,365036829;0,950593719;1;0,999677251;0,964951796;--.--.--.--.--.--;None;None;0,021435129;0,950851448;0,990210098;1;0,999998979;0,996727599;0,977956168;--.--.--.--.--.--;None;None;0,004051827;0,998334196;-0,345809386;0,90100717;0,050914154;0,999443953;0,006246778;0,940185436;0,144369367;3,623914048;4,125224266;5,370611515;6,651138759;7,56684662;4,4976408;4,95501061;5,531812369;4,115935594;5,397936645;5,294929072;5,412448254;7,217950233;6,987781316;3,986089118;13 terms Henderson moving average;3x5;0,666382255;0,144203726;0,908070997;0,46300542;0,698130928;0,548244606;0,250623263;0,574368191;0,199341863;0,536495661;0,505798063;0,482930671;0,524795799;Good;0;Good;0,006;Good;Good;Good;0,429;Uncertain;0,045;Good;0,729;Good;0,333;Good;0,003;Good;0,439;Good;0,48;Good;0,483;Good;0,525;;;;;;;Good;1;Good;1;Good;0,993;Good;0,984;Good;0,975;Good;0,974;Good;0,78;Good;0,051;Bad;0,006;Good
RF1013;12;1990-01-31;2018-10-31;346;0;1990-01-31;2018-10-31;346;0;0;Leap year;2,654098;2,8697;7;0;td-derived;-1,828879;-6,1039;0;;;;11;2;3;6;0;Monday;0,380166;1,2643;Tuesday;1,121508;3,7478;Wednesday;1,114421;3,72;Thursday;0,574867;1,9342;Friday;0,593714;1,9917;Saturday;-1,955797;-6,5777;AO (7-1994);31,91727;12,8093;TC (9-1992);-23,604166;-9,9918;AO (7-1991);21,273074;8,3299;TC (5-1991);-16,76435;-6,765;TC (8-1993);-17,894726;-7,4327;TC (9-1994);-18,434971;-7,2853;TC (1-1991);17,17441;6,3997;LS (9-1990);-11,651824;-5,0329;LS (4-1995);-8,487568;-5,0375;LS (1-2011);6,314755;4,1185;TC (11-1993);-9,918241;-4,2223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333;22;-854,55519422;-854,55519422;3276,538024814;1753,110388441;1756,37490457;1836,88952322;2,65267943;3,240636425;3,136790323;-1,626991;Normal with Mean = 0.0 and Stdev = 0.13423121104280486;0,326756;0,0149;Normal with Mean = 3.0 and Stdev = 0.2684624220856097;5,466334;0;49,662932;19,678054;Chi2 with 21 degrees of freedom ;125,801994;0;0,026122;18,836221;121,969026;0,025031;-0,086883;4,6877;0,713642;5,166875;(1,1,1)(0,1,1);0;1;1;1;0;1;1;-0,277089;;;;-0,931904;;-0,27752;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,017219822;0,318014292;0,046477279;0,070546703;0,39203298;0,844291076;2165,013575781;2061,457103522;0,117565557;0,852206852;0,949196379;0;0;0,031717921;0;0;AT.a-.AT.At.AT.--;None;0;0;0,50454713;0,987023695;0,544427787;0,64764635;0,476914426;At.--.--.--.--.--;None;None;0;0,500478807;0,639864007;0,837156404;0,938157229;0,742352069;--.--.--.--.--.--;None;None;0,000012173;0,627831629;0,73108433;0,841566351;0,999999799;0,997698194;0,892180542;--.--.--.--.--.--;None;None;0,000000133;0,670833287;-0,38839529;0,999841524;0,442546842;0,995338576;0,452222763;0,999708521;0,201274343;4,772905336;7,525565163;2,877816691;4,251203148;3,856633363;3,808839048;4,503446429;1,981241138;1,990076792;3,004767294;4,665317675;3,558010102;2,98191963;2,471289205;1,424835024;23-Henderson;3x3;0,715082199;0,455854014;1,298747686;0,264574525;1,540470897;0,448873324;1,007168078;1,26456232;0,758894853;0,66284168;0,633928168;0,907719712;0,970637721;Good;0;Good;0,006;Good;Good;Bad;0;Good;0,542;Good;0,172;Good;0,26;Uncertain;0,032;Good;0,852;Good;0,949;Good;0,908;Good;0,971;;;;;;;Good;0,842;Good;0,914;Good;0,892;Good;0,77;Good;0,136;Good;0,993;Good;0,283;Good;0,443;Good;0,452;Good
